,statement,source,t/f status
11927,"""Obama keeps talking about getting rid of all nuclear weapons. He’s already significantly reduced our capabilities there.""",Dick Cheney,barely-true
11928,"The California governor ""says yes to poisoning more children with mercury and aluminum"" in vaccines.",Jim Carrey,false
11929,"""Christian Pastor in Vermont Sentenced to One Year in Prison After Refusing to Marry Gay Couple""",Bloggers,pants-fire
11930,"Muslims ""attempted to establish the first Islamic Sharia court inside the United States in the town of Irving, Texas.""",Chain email,false
11931,"Says Carlos Lopez-Cantera ""even voiced enthusiastic support for bringing an Arizona-style immigration law to Florida, calling the measure 'common sense.’""",Allison Tant,barely-true
11932,"Says Scott Walker's views on abortion are more restrictive ""than any Republican president in recent times.""",Tammy Baldwin,true
11933,"""134,000 (criminal) aliens have been released by the (Obama) administration in just the past two years.""",Hans von Spakovsky,half-true
11934,"""Thanks to the Obama administration’s negotiations, Iran’s nuclear program will be under lock, key and camera 24 hours a day, 365 days a year.""",Don Beyer,half-true
11935,"""In New Orleans, nearly 100 percent of our kids are in charter schools.""",Bobby Jindal,true
11936,"""Sen. Rubio’s (tax plan) would cut taxes for households making around $3 million a year by almost $240,000, which is way more than three times the earnings of a typical family.""",Hillary Clinton,mostly-true
11937,"Despite keeping distance from national media interviewers, ""I did local press all along, the last three months.""",Hillary Clinton,barely-true
11938,Says Florida had five sanctuary cities while Jeb Bush was governor.,Donald Trump,false
11939,"Despite what Donald Trump claims, ""there weren’t 15,000 people who turned out in Phoenix"" to see Trump speak.",Rachel Maddow,true
11940,"Says she ""called for addressing risks of derivatives, cracking down on subprime mortgages and improving financial oversight"" early on in the financial crisis.",Hillary Clinton,true
11941,"Says because of his actions, Wisconsin ""property taxes today are lower than they were four years ago.""",Scott Walker,mostly-true
11942,"""Limberbutt McCubbins (a five-year-old cat) is a candidate"" in the 2016 presidential election.",Limberbutt McCubbins,half-true
11943,"""The $5 billion website for Obamacare … never worked. Still doesn't work.""",Donald Trump,false
11944,"""We don’t have a (military) reserve force if something happens.""",Joe Theismann,false
11945,"""In the past two years in Congress, I’ve written more bills, passed more amendments on the floor of the House and enacted more of my bills into law than any other member of the House.""",Alan Grayson,mostly-true
11946,"""We know from ... the federal data, that they only stop or apprehend one out of four illegal people crossing our border.""",Jan Brewer,barely-true
11947,Cobb County businesses have already been awarded contracts worth $250 million on construction of a new Braves stadium.,Tim Lee,mostly-true
11948,"Says Chris Christie ""vetoed equal pay for women 3 times. He only let the bill pass once it became a damaging campaign issue.""",Ultraviolet,barely-true
11949,"For African-Americans between the ages of 17 and 20, ""the real unemployment rate … is 51 percent.""",Bernie Sanders,mostly-true
11950,"Says President Obama ""is reducing our naval fleet to 1917 levels...""",E.W. Jackson,barely-true
11951,"""The United States ranks second worst in income inequality across developed countries,"" after taxes and transfers.",Bobby Scott,mostly-true
11952,"""We're destroying more businesses in the United States now than are being created for the first time in our history.""",Carly Fiorina,half-true
11953,"Says Hillary Clinton's ""campaign hasn't been clear about when she wiped her server of her work emails.""",Brianna Keilar,mostly-true
11954,"""25 percent of federal inmates are noncitizens.""",Larry O'Connor,mostly-true
11955,"Wisconsin’s economy has ""tanked"" under Gov. Scott Walker and ""so far in 2015 over 6,685 people have been laid off, already more than in all of 2014.""",American Bridge 21st Century,false
11956,"""More businesses are closing than are opening for the first time in our nation's history.""",Todd Wilcox,half-true
11957,"""Bernie Sanders voted against the Brady Bill -- background checks and waiting periods.""",Generation Forward PAC,mostly-true
11958,"A ""working woman"" will earn $7.70 on $10.",Tom Toles,mostly-true
11959,"Says Donald Trump has ""given more money to Democratic candidates than Republican candidates.""",Ben Ferguson,barely-true
11960,"Says his ""average federal tax rate"" was 36 percent.",Jeb Bush,half-true
11961,"""Jay-Z and Beyonce Attempt to Buy Rights to Confederate Flag to Prevent Further Use.""",Bloggers,pants-fire
11962,"""The Mexican government forces many bad people into our country.""",Donald Trump,pants-fire
11963,"""There’s now been three independent investigations (into the bridge scandal) all of which have said"" that Christie did not have prior knowledge of or involvement in the lane closures.",Chris Christie,half-true
11964,"""In a majority of states, you can now marry freely, but can still be fired for who you love.""",Mark Pocan,mostly-true
11965,"""Jasper County in Texas raised property taxes by 7 percent in order to pay for one death penalty case.""",Ron Paul,true
11966,"""We have the highest rate of childhood poverty of any major country on Earth.""",Bernie Sanders,barely-true
11967,"Says Jeb Bush ""doesn't believe in a path to citizenship. If he did at one time, he no longer does.""",Hillary Clinton,mostly-true
11968,"In Florida, ""the number of voters who now register as ‘other’ has grown by a million in the last 10 years. Compare that with the Democrats, who only grew by 300,000 and the Republicans who grew by just 200,000.""",Chuck Todd,mostly-true
11969,"On support for Trade Promotion Authority, called fast-track",Ted Cruz,full-flop
11970,"""President Obama in November of last year wiped away (a program) that allows for shared fingerprinting for those who are behind bars so you know who is here legally and illegally.""",Harris Faulkner,half-true
11971,"""We've cut the deficit by two-thirds.""",Barack Obama,mostly-true
11972,A photograph of 21-year-old Hillary Clinton featured a Confederate battle flag in the background.,Dinesh D'Souza,pants-fire
11973,"Says Hillary Clinton’s top 10 donors are mainly ""banks, corporations and media,"" while Bernie Sanders’ top 10 donors are labor unions.",Facebook posts,mostly-true
11974,"""Florida has reduced its carbon emissions by 20 percent since 2005.""",Gus Bilirakis,mostly-true
11975,"Replacing 100,000 old toilets with water-efficient models has saved 2.4 million gallons of water every day.",Metropolitan North Georgia Water Planning District,true
11976,"""Hundreds of thousands of (illegal immigrants are) going to state and federal penitentiaries.""",Donald Trump,barely-true
11977,"""Greece is not a big economy. It's about the size of metropolitan Miami.""",Paul Krugman,true
11978,"Says his book, The Art of the Deal, is ""the No. 1 selling business book of all time.""",Donald Trump,false
11979,"After actions by Gov. Scott Walker and Republicans, Wisconsin ""is dead broke.""",Occupy Democrats,pants-fire
11980,"""The average age a child is trafficked into the commercial sex trade industry is between 11 and 14 years old.""",Randy Forbes,half-true
11981,Six thousand people have sought addiction treatment through expanded Medicaid.,Maggie Hassan,false
11982,"""Chris Christie has led New Jersey to a record-breaking 9 credit downgrades.""",Donna Brazile,mostly-true
11983,"""Less than 1 percent of all the education dollars that we spend are spent on private (school) voucher programs.""",Ted Kanavas,half-true
11984,"""The House of Representatives just voted 300-131 to remove ‘country-of-origin labeling’ on chicken, pork, and beef sold in the U.S.""",Facebook posts,true
11985,"""50 percent of murders in Texas have been linked to illegal aliens.""",Gavin McInnes,false
11986,"The Supreme Court’s views ""are radically out of step with public opinion"" regarding its decision to legalize same-sex marriage nationwide.",Ted Cruz,barely-true
11987,"Says his release of 33 years of tax returns is ""more than any presidential candidate in history.""",Jeb Bush,true
11988,"Texas has ""the nation's highest rate and highest number of uninsured.""",Donna Howard,mostly-true
